ITEM NO.	PART NUMBER	DESCRIPTION	QTY.
1	C_Shape_Shoulder		2
2	Arm_upper_arm_A_R_v3_NYLON		1
3	Arm_upper_arm_B_R_v3_NYLON		1
4	Arm_lower_arm_A_R_v3_NYLON		1
5	Arm_lower_arm_B_R_v3_NYLON		1
6	Arm_Big_gear_R_v3_NYLON		1
7	Arm_small_gear_1_R_v3_NYLON		1
8	dynamixel_x28_series		4
9	HN07-N101-1		4
10	Arm_forearm_A_R_v3_NYLON		1
11	Arm_forearm_B_R_v3_NYLON		1
12	Arm_straight bevel gear_v3_NYLON		2
13	Arm_straight bevel pinion_v3_NYLON		2
14	Arm_wrist_rotation_R_v3_NYLON		1
15	converter_Q_Bec		2
16	Arm_nuts_holder_v3_NYLON		2
17	Arm_Plate_shoulder_v3		2
18	arm_Stopper_forearm		2
19	Belt_203.2mm_Length_6mm_Width		2
20	Pulley_2.032mm_Pitch_36_Tooth		2
21	Pulley_2.032mm_Pitch_72_Tooth		2
22	Arm_bearing_8x5_v2		8
23	M6_shoulder_screw_8x50mm		4
24	NUT_M3_lock		8
25	NUT_M6_lock		4
26	dynamixel_x64_series		2
27	HN05-N101_rw		4
28	dynamixel_x106_series		4
29	21T5_15-2_rw		2
30	21T5_30-2_rw_Shoulder		2
31	200mm_TIMING_BELT		4
32	hand_small_BOTTOM_R_v3_NYLON		1
33	finger_base_INDEX_R_v3_NYLON		1
34	Finger_2_INDEX_R_v3_NYLON		1
35	Torsion_spring_0.45Thick_3.5Diam_7Turns_L		11
36	finger_base_RING_R_v3_NYLON		1
37	finger_base_PINKY_R_v3_NYLON		1
38	Pulley_7mm_v3_NYLON		8
39	Servo_MKS_DS65K		2
40	Servo_MKS_DS65K_Horn		2
41	XPERT_CI-2401_for Armv3		4
42	xpert_servo_horn(doble)		2
43	XPERT_CI-2401_for Armv3		4
44	Pulley_8mm_v3_NYLON		2
45	xpert_servo_horn(doble)		6
46	Pulley_Thumb_finger_v3_NYLON		2
47	Pulley_6mm_v3_NYLON (2)		2
48	Finger_wheel_central_R_v3_NYLON		1
49	finger_bar_wheel_INDEX_R_v3_NYLON		1
50	finger_bar_wheel_MIDDLE_R_v3_NYLON		1
51	finger_bar_wheel_PINKY_R_v3_NYLON		1
52	finger_bar_wheel_R_v3_NYLON		1
53	Pulley_finger_v3_NYLON		8
54	Finger_3_INDEX_R_v3_NYLON		1
55	Bearing_2x5mm		26
56	Torsion_spring_0.45Thick_3.5Diam_6Turns_L		6
57	Finger_3_PINKY_R_v3_NYLON		1
58	Finger_3_RING_R_v3_NYLON		1
59	Finger_3_MIDDLE_R_v3_NYLON		1
60	Torsion_spring_0.45Thick_3.5Diam_5Turns_L		4
61	Xpert_MI-3301-HV		1
62	Finger_3_THUMB_R_v3_NYLON		1
63	Finger_1_THUMB_R_v3_NYLON		1
64	Finger_2_THUMB_R_v3_NYLON		1
65	Pulley_Thumb_finger_2_v3_NYLON		2
66	Finger_Base_THUMB_R_v3_NYLON		1
67	Torsion_spring_0.45Thick_3.5Diam_7Turns_L		11
68	Pin_3x25mm		2
69	Torsion_spring_0.75Thick_4Diam_4Turns_R		1
70	Screw_M2X8mm_Hex		24
71	Pulley_Thumb_Spring_R_v3_NYLON		1
72	hand_small_Support_R_v3_NYLON		1
73	Wire_Middle_R		1
74	XPERT_CI-2401_for Armv3		4
75	xpert_servo_horn(doble)		4
76	Wire_Ring_R		1
77	Finger_1_INDEX_R_v3_NYLON		1
78	Finger_1_MIDDLE_R_v3_NYLON		1
79	Finger_2_MIDDLE_R_v3_NYLON		1
80	Finger_2_RING_R_v3_NYLON		1
81	Finger_2_PINKY_R_v3_NYLON		1
82	Finger_1_RING_R_v3_NYLON		1
83	Finger_1_PINKY_R_v3_NYLON		1
84	hand_small_TOP_R_v3_NYLON		1
85	Gear_Wrist_R_v3_NYLON		1
86	Pinion_Wrist_2_R_v3_NYLON		1
87	maestro_12ch_complete		2
88	Arm_Wrist_A_R_v3_NYLON		1
89	Screw_M2X6mm_Hex		4
90	XpertMini_Horn_StarShape_		2
91	Arm_Wrist_support1_A_R_v3_NYLON		1
92	Arm_Wrist_support2_A_R_v3_NYLON		1
93	Arm_Wrist_support3_A_R_v3_NYLON		1
94	Arm_Wrist_B_R_v3_NYLON		1
95	Screw_M2x8mm_Self		36
96	Screw_M2x6mm_Self		33
97	Screw_M3x10mm_Self		26
98	Pin_3x13mm		4
99	Pin_3x16mm		2
100	Pin_2x14mm		16
101	Pin_2x19mm		6
102	Pin_2x24mm		2
103	Pin_2x17mm		8
104	Pin_2x10mm		2
105	Pin_1.5x6mm		2
106	Pin_1.5x3.7mm		4
